protein	SRR2131211	SRR2131212
K00835	7	6
K00836	10	13
K00837	0	5
K00839	8	5
K00840	9	19
K00841	5	9
K00845	14	39
K00847	16	39
K00848	11	14
K00849	13	31
K00850	11	53
K00851	2	11
K00852	14	29
K00853	10	16
K00854	20	47
K00855	7	2
K00857	3	16
K00858	4	18
K00859	6	15
K00860	2	3
K00861	0	2
K00863	10	11
K00864	12	52
K00865	21	37
K00867	4	18
K00868	20	12
K00869	2	5
K00872	16	17
K00873	23	66
K00874	13	16
K00875	5	3
K00876	5	19
K00878	11	8
K00879	8	14
K00880	6	8
K00881	0	1
K00882	4	25
K00883	8	5
K00884	5	6
K00885	1	1
K00886	1	14
K00891	6	14
K00892	4	8
K00895	0	10
K00897	2	2
K00899	9	4
K00900	0	1
K00901	2	2
K00903	0	1
K00906	8	8
K00912	11	16
K00917	0	3
K00919	4	16
K00924	1	0
K00925	20	42
K00926	5	26
K00927	19	40
K00928	23	36
K00929	0	2
K00930	12	20
K00931	13	16
K00932	6	9
K00934	0	1
K00936	7	53
K00937	23	42
K00938	4	2
K00939	11	18
K00940	3	9
K00941	9	16
K00942	7	11
K00943	8	12
K00945	7	20
K00946	9	25
K00948	14	44
K00949	4	3
K00950	2	5
K00951	38	89
K00954	3	11
K00955	1	2
K00956	8	4
K00957	3	4
K00962	34	67
K00963	20	37
K00965	14	9
K00968	0	1
K00969	7	18
K00970	13	23
K00971	3	11
K00973	6	20
K00974	5	13
K00975	12	18
K00978	0	1
K00979	6	9
K00980	0	4
K00981	10	13
K00982	35	24
K00983	0	3
K00986	1	14
K00989	5	18
K00990	28	17
K00991	10	18
K00995	13	20
K00996	8	7
K00997	3	4
K00998	5	7
K01000	17	31
K01001	0	1
K01002	13	6
K01005	1	3
K01006	0	45
K01007	19	28
K01008	7	9
K01011	16	15
K01012	10	15
K01026	8	5
K01027	2	1
K01028	6	6
K01029	5	5
K01031	3	3
K01032	7	3
K01035	1	1
K01041	0	1
K01042	18	4
K01043	0	1
K01048	16	2
K01051	9	12
K01053	0	3
K01054	0	1
K01055	6	3
K01056	10	15
K01057	5	2
K01058	7	1
K01060	0	4
K01061	5	7
K01066	2	6
K01067	0	3
K01069	4	6
K01070	4	2
K01071	0	5
K01077	11	12
K01078	0	1
K01079	12	11
K01081	22	4
K01082	6	8
K01085	5	4
K01087	6	1
K01089	3	5
K01090	8	14
K01091	11	14
K01092	15	14
K01093	7	7
K01095	4	3
K01096	8	5
K01101	2	3
K01104	3	28
K01112	2	7
K01118	6	11
K01119	11	6
K01126	16	24
K01129	14	18
K01130	10	3
K01138	0	4
K01139	9	12
K01141	6	9
K01142	12	24
K01144	0	1
K01146	5	4
K01147	14	9
K01150	4	4
K01151	9	14
K01153	30	62
K01154	6	20
K01155	0	3
K01156	3	3
K01159	7	10
K01163	0	8
K01169	3	2
K01173	0	1
K01174	0	1
K01175	4	7
K01176	22	22
K01179	10	15
K01182	6	30
K01183	8	6
K01186	19	5
K01187	38	58
K01188	0	3
K01190	65	65
K01191	7	22
K01192	0	12
K01193	17	23
K01194	14	18
K01195	0	3
K01197	10	5
K01198	6	21
K01200	3	15
K01205	1	0
K01206	17	10
K01207	15	24
K01208	1	0
K01209	0	14
K01212	0	1
K01215	0	12
K01218	0	1
K01220	2	21
K01222	26	39
K01223	65	228
K01224	6	17
K01226	13	33
K01227	0	2
K01229	0	1
K01232	17	20
K01234	0	8
K01236	0	7
K01238	0	4
K01239	3	11
K01241	10	2
K01243	11	12
K01246	3	5
K01247	2	4
K01250	6	7
K01251	7	15
K01252	4	2
K01255	15	14
K01256	30	47
K01258	7	41
K01259	0	7
K01261	0	3
K01262	15	44
K01265	11	41
K01266	0	1
K01267	2	10
K01269	7	22
K01270	10	28
K01271	8	24
K01273	5	3
K01274	0	7
K01277	0	7
K01278	7	4
K01281	0	7
K01284	13	29
K01286	3	1
K01291	1	0
K01297	4	9
K01299	6	22
K01303	0	1
K01304	9	7
K01305	0	6
K01322	0	5
K01338	30	32
K01354	29	11
K01356	6	23
K01358	15	34
K01361	1	7
K01362	7	18
K01372	19	21
K01376	0	1
K01407	13	12
K01409	13	43
K01414	19	12
K01415	0	1
K01416	0	1
K01417	9	26
K01419	1	8
K01420	6	22
K01421	18	28
K01422	1	0
K01423	3	1
K01424	13	38
K01425	7	22
K01426	0	17
K01427	1	1
K01428	23	14
K01429	2	2
K01430	3	3
K01433	6	9
K01436	5	13
K01438	9	16
K01439	18	38
K01442	4	20
K01443	21	21
K01447	0	2
K01448	17	29
K01451	34	36
K01452	2	0
K01457	0	10
K01460	12	14
K01462	10	28
K01463	0	3
K01464	0	12
K01465	26	40
K01467	8	7
K01468	5	9
K01470	7	7
K01473	1	0
K01476	3	0
K01478	0	14
K01479	8	4
K01480	6	16
K01482	0	8
K01484	15	14
K01485	21	16
K01486	7	27
K01487	10	9
K01488	7	7
K01489	8	10
K01491	10	36
K01493	0	5
K01494	8	10
K01495	9	23
K01496	2	5
K01497	3	5
K01501	1	0
K01505	0	1
K01507	11	12
K01512	6	4
K01515	7	12
K01520	10	10
K01521	3	3
K01523	1	3
K01524	25	32
K01525	5	4
K01529	2	9
K01530	0	1
K01531	18	37
K01533	4	30
K01534	13	61
K01535	1	2
K01537	30	82
K01539	1	8
K01545	1	0
K01546	14	13
K01547	17	22
K01548	3	4
K01551	0	5
K01552	35	45
K01554	3	6
K01557	2	1
K01560	0	3
K01567	1	6
K01568	0	1
K01571	3	7
K01572	3	9
K01573	1	0
K01575	5	6
K01577	0	1
K01579	2	6
K01580	0	8
K01581	16	22
K01582	26	16
K01584	1	1
K01585	11	21
K01586	24	28
K01588	7	6
K01589	18	18
K01590	0	2
K01591	17	12
K01595	29	17
K01596	1	21
K01597	2	2
K01598	1	4
K01599	4	12
K01601	1	1
K01607	19	17
K01609	3	10
K01610	19	32
K01611	5	7
K01613	9	10
K01615	0	1
K01616	0	8
K01619	5	31
K01620	5	13
K01621	3	20
K01624	20	60
K01625	5	15
K01626	33	28
K01627	4	9
K01628	2	11
K01629	8	6
K01630	3	2
K01631	5	4
K01632	8	1
K01633	2	7
K01635	0	10
K01636	0	4
K01637	12	8
K01638	6	10
K01639	2	3
K01640	0	1
K01641	2	12
K01643	11	8
K01644	5	7
K01646	1	3
K01647	24	25
K01649	29	61
K01652	57	89
K01653	6	18
K01654	0	9
K01657	19	24
K01658	7	7
K01659	0	1
K01661	9	23
K01662	18	58
K01664	5	6
K01665	15	10
K01666	6	4
K01667	0	5
K01669	7	5
K01671	0	2
K01673	6	9
K01674	0	6
K01676	14	23
K01677	5	3
K01678	1	3
K01679	14	31
K01681	26	44
K01682	17	9
K01684	7	9
K01685	3	15
K01686	7	32
K01687	24	50
K01689	9	39
K01690	9	22
K01692	6	5
K01693	5	6
K01694	0	1
K01695	12	17
K01696	20	34
K01697	13	10
K01698	8	24
K01699	18	6
K01702	2	0
K01703	15	28
K01704	8	4
K01706	10	7
K01707	0	1
K01708	7	12
K01709	0	1
K01710	8	26
K01711	0	1
K01712	10	17
K01713	5	2
K01714	18	51
K01715	1	2
K01716	2	1
K01719	1	3
K01726	0	1
K01727	0	1
K01728	0	1
K01730	6	5
K01733	22	31
K01734	4	5
K01735	10	30
K01736	17	32
K01737	4	7
K01738	17	41
K01739	22	21
K01740	16	32
K01744	20	22
K01745	8	21
K01749	6	10
K01750	1	22
K01751	4	9
K01752	29	52
K01753	7	7
K01754	20	30
K01755	12	26
K01756	15	52
K01758	8	11
K01759	6	15
K01760	21	21
K01761	2	9
K01766	8	5
K01768	0	7
K01770	4	10
K01772	7	16
K01775	25	33
K01776	11	15
K01778	7	17
K01779	9	11
K01782	12	10
K01783	16	27
K01784	20	50
K01785	5	23
K01786	10	33
K01787	0	4
K01788	6	20
K01790	2	21
K01791	6	22
K01792	6	11
K01802	3	9
K01803	18	29
K01804	14	26
K01805	21	26
K01807	10	4
K01808	4	23
K01809	8	34
K01810	15	38
K01811	14	27
K01812	7	23
K01813	10	12
K01814	6	9
K01815	0	4
K01816	5	0
K01817	4	12
K01818	16	13
K01819	3	6
K01821	1	3
K01823	3	12
K01825	14	4
K01826	2	5
K01834	11	16
K01835	20	61
K01838	1	10
K01839	9	20
K01840	12	27
K01843	2	12
K01845	13	26
K01847	0	25
K01848	0	8
K01849	0	2
K01854	7	12
K01856	8	5
K01857	8	6
K01866	28	34
K01867	18	23
K01868	20	65
K01869	42	98
K01870	42	87
K01872	30	58
K01873	38	88
K01874	20	54
K01875	11	37
K01876	24	65
K01878	7	13
K01879	13	37
K01880	8	27
K01881	21	63
K01883	18	32
K01885	24	34
K01886	10	11
K01887	31	46
K01889	18	26
K01890	36	67
K01892	16	35
K01893	12	24
K01894	6	4
K01895	13	13
K01897	65	52
K01899	0	1
K01900	1	1
K01902	15	13
K01903	16	14
K01906	0	4
K01910	5	1
K01911	7	14
K01912	8	15
K01914	7	10
K01915	23	66
K01916	8	12
K01917	3	1
K01918	7	18
K01919	13	26
K01920	5	4
K01921	23	45
K01922	0	2
K01923	10	29
K01924	20	34
K01925	19	45
K01926	0	8
K01928	22	41
K01929	23	38
K01933	11	32
K01934	7	3
K01935	10	12
K01937	24	38
K01938	13	40
K01939	13	40
K01940	13	30
K01941	1	19
K01945	19	21
K01948	0	1
K01950	16	29
K01951	32	67
K01952	66	105
K01953	17	40
K01955	41	121
K01956	19	25
K01958	3	44
K01959	1	3
K01960	1	4
K01961	12	26
K01962	12	10
K01963	12	18
K01965	0	3
K01966	8	21
K01968	1	4
K01969	0	2
K01971	5	1
K01972	39	67
K01975	3	4
K01989	3	21
K01990	71	212
K01991	8	19
K01992	47	93
K01993	14	13
K01994	0	1
K01995	23	32
K01996	24	28
K01997	15	16
K01998	28	24
K01999	30	19
K02000	10	25
K02001	7	9
K02002	3	11
K02003	51	147
K02004	60	137
K02005	2	4
K02006	4	9
K02007	5	3
K02008	5	1
K02009	2	0
K02010	25	30
K02011	27	36
K02012	22	31
K02013	54	123
K02014	78	183
K02015	69	106
K02016	44	88
K02017	11	21
K02018	6	20
K02019	5	4
K02020	14	19
K02021	0	3
K02024	24	14
K02025	3	66
K02026	6	81
K02027	11	54
K02028	43	78
K02029	59	84
K02030	45	74
K02031	33	55
K02032	60	108
K02033	59	64
K02034	42	59
K02035	69	106
K02036	9	36
K02037	7	14
K02038	11	19
K02039	9	8
K02040	5	22
K02041	8	13
K02042	9	15
K02043	4	4
K02044	6	4
K02045	8	10
K02046	6	5
K02047	7	7
K02048	10	8
K02049	28	52
K02050	28	22
K02051	20	26
K02052	15	24
K02053	6	9
K02054	8	8
K02055	11	7
K02056	36	56
K02057	37	55
K02058	14	14
K02062	6	9
K02063	8	11
K02064	7	8
K02065	7	11
K02066	7	6
K02067	3	5
K02068	7	8
K02069	8	5
K02071	28	59
K02072	23	25
K02073	28	58
K02074	10	6
K02075	8	13
K02077	14	7
K02078	1	7
K02079	0	2
K02081	0	3
K02082	1	11
K02083	4	11
K02086	1	3
K02099	5	1
K02100	5	12
K02103	0	5
K02108	10	21
K02109	4	12
K02110	2	4
K02111	15	49
K02112	11	34
K02113	5	6
K02114	6	5
K02115	10	23
K02116	1	3
K02117	0	16
K02118	0	11
K02119	0	6
K02120	0	3
K02121	0	1
K02122	0	2
K02123	0	17
K02124	0	1
K02132	0	1
K02133	0	3
K02145	0	1
K02147	0	1
K02154	1	0
K02160	3	8
K02167	3	3
K02168	18	16
K02169	2	4
K02170	3	4
K02173	0	2
K02182	0	1
K02188	7	3
K02189	6	2
K02190	2	7
K02191	1	0
K02193	4	8
K02194	3	2
K02195	2	5
K02196	1	0
K02197	5	2
K02198	17	14
K02199	8	3
K02200	2	2
K02203	0	2
K02204	0	2
K02205	0	1
K02217	2	13
K02221	4	5
K02224	5	5
K02226	5	2
K02227	3	6
K02230	1	6
K02231	5	3
K02232	12	18
K02233	3	6
K02234	2	3
K02236	0	3
K02237	5	2
K02238	18	32
K02240	3	3
K02242	2	5
K02243	0	4
K02244	0	4
K02246	1	1
K02248	0	2
K02255	2	2
K02275	0	1
K02279	1	0
K02280	0	1
K02282	0	3
K02283	5	8
K02297	3	1
K02298	10	10
K02299	3	4
K02300	3	2
K02301	7	7
K02302	18	10
K02303	2	2
K02313	18	40
K02314	18	42
K02315	3	10
K02316	22	31
K02317	2	2
K02319	0	1
K02334	0	23
K02335	28	73
K02336	11	13
K02337	44	109
K02338	14	31
K02339	3	0
K02340	7	10
K02341	13	19
K02342	10	27
K02343	28	37
K02344	3	2
K02345	2	2
K02346	18	30
K02347	1	0
K02348	2	6
K02352	1	0
K02355	34	114
K02356	9	25
K02357	10	30
K02358	9	52
K02361	10	6
K02362	4	2
K02363	8	10
K02364	22	25
K02371	10	12
K02372	4	8
K02379	3	5
K02380	5	5
K02381	0	3
K02385	1	0
K02389	2	0
K02390	5	0
K02392	2	0
K02393	0	2
K02395	0	1
K02396	0	1
K02397	1	0
K02398	0	1
K02400	5	2
K02401	1	2
K02403	0	1
K02404	1	0
K02405	0	2
K02406	4	0
K02407	0	4
K02409	1	2
K02410	2	5
K02411	1	0
K02412	8	2
K02416	0	1
K02417	4	0
K02421	1	0
K02422	0	1
K02424	8	13
K02426	5	5
K02427	3	0
K02428	10	20
K02429	5	24
K02430	2	8
K02431	3	3
K02433	16	32
K02434	4	32
K02435	0	6
K02437	5	7
K02438	26	29
K02439	1	2
K02440	19	23
K02441	4	3
K02442	0	2
K02443	0	1
K02444	5	5
K02445	20	29
K02446	7	11
K02450	0	2
K02451	2	1
K02452	4	1
K02453	11	16
K02454	14	12
K02455	8	4
K02456	2	5
K02457	3	1
K02458	3	3
K02459	3	6
K02460	6	2
K02461	7	3
K02462	1	1
K02463	3	1
K02464	2	2
K02465	1	1
K02466	1	1
K02467	7	6
K02468	4	5
K02469	45	123
K02470	49	100
K02471	1	1
K02472	8	20
K02474	1	5
K02477	11	10
K02478	24	28
K02479	1	1
K02480	0	1
K02481	3	5
K02482	0	2
K02483	18	41
K02484	10	18
K02485	7	4
K02486	1	0
K02488	5	7
K02492	13	17
K02493	10	13
K02494	2	4
K02495	24	44
K02496	9	4
K02498	4	3
K02499	1	3
K02500	8	22
K02501	6	18
K02503	3	8
K02504	8	14
K02505	5	7
K02506	1	1
K02507	5	8
K02508	4	6
K02509	6	1
K02510	7	9
K02511	10	10
K02517	11	8
K02518	5	10
K02519	21	71
K02520	5	19
K02521	10	2
K02523	7	4
K02525	6	5
K02526	3	9
K02527	5	9
K02528	8	15
K02529	87	160
K02530	0	7
K02531	1	0
K02532	34	25
K02533	3	4
K02535	2	10
K02536	8	10
K02538	0	1
K02548	11	9
K02549	5	15
K02550	1	0
K02551	6	11
K02552	10	14
K02553	2	3
K02554	3	4
K02556	0	1
K02557	2	2
K02558	9	7
K02560	4	3
K02562	3	1
K02563	9	23
K02564	10	20
K02565	8	7
K02566	5	16
K02567	3	0
K02570	2	0
K02573	1	1
K02575	19	30
K02584	3	5
K02585	0	1
K02586	0	1
K02594	0	3
K02598	1	6
K02600	12	28
K02601	10	16
K02609	7	2
K02610	1	3
K02611	7	2
K02612	2	3
K02613	7	8
K02614	2	4
K02615	10	10
K02616	8	7
K02617	4	4
K02618	14	15
K02619	5	4
K02621	22	54
K02622	21	42
K02623	1	0
K02624	18	17
K02625	1	1
K02647	6	15
K02650	0	1
K02652	6	6
K02653	1	4
K02654	1	5
K02655	0	1
K02667	1	5
K02669	5	11
K02670	0	1
K02679	2	1
K02680	1	4
K02681	1	0
K02682	0	3
K02687	9	17
K02742	1	4
K02746	0	4
K02747	0	4
K02750	35	23
K02753	7	10
K02755	1	0
K02757	28	89
K02759	7	16
K02760	10	20
K02761	56	123
K02765	3	21
K02768	3	3
K02769	1	1
K02770	19	63
K02771	0	3
K02773	1	4
K02774	0	8
K02775	7	33
K02777	6	14
K02778	2	1
K02779	14	36
K02781	3	4
K02783	10	19
K02784	1	1
K02786	0	3
K02788	1	20
K02791	11	29
K02793	2	8
K02794	8	25
K02795	15	40
K02796	21	33
K02798	0	3
K02800	12	17
K02803	0	3
K02804	27	32
K02805	5	7
K02806	2	2
K02810	15	44
K02812	2	0
K02813	3	0
K02814	6	4
K02815	9	3
K02819	15	18
K02821	10	11
K02822	8	6
K02823	4	13
K02824	9	36
K02825	2	8
K02827	0	1
K02834	7	16
K02835	17	38
K02836	11	33
K02837	11	39
K02838	8	17
K02839	0	1
K02841	2	3
K02843	10	6
K02844	5	3
K02846	6	2
K02849	1	4
K02851	15	18
K02852	3	6
K02853	11	3
K02854	3	3
K02855	10	7
K02856	4	7
K02858	5	4
K02859	0	2
K02860	13	6
K02863	11	22
K02864	8	11
K02867	13	13
K02871	5	8
K02874	4	13
K02876	1	11
K02878	2	11
K02879	4	8
K02881	3	7
K02884	2	8
K02886	2	18
K02887	3	8
K02888	1	3
K02890	2	8
K02892	3	14
K02895	0	7
K02897	3	6
K02899	1	1
K02902	6	1
K02904	2	3
K02906	5	13
K02907	1	4
K02909	2	7
K02911	0	2
K02913	5	3
K02914	0	2
K02916	2	1
K02919	2	2
K02926	7	11
K02931	9	14
K02933	4	11
K02935	0	8
K02939	3	7
K02945	6	55
K02946	2	6
K02948	1	11
K02950	1	11
K02952	4	9
K02954	2	6
K02956	1	6
K02959	4	2
K02961	1	13
K02963	1	6
K02965	1	5
K02967	5	19
K02968	3	4
K02970	1	2
K02982	4	18
K02986	6	17
K02988	6	11
K02990	0	9
K02992	3	13
K02994	7	12
K02996	3	12
K03018	2	0
K03040	7	25
K03043	56	118
K03046	53	134
K03048	1	7
K03060	0	4
K03062	1	0
K03063	0	1
K03070	30	93
K03071	1	1
K03072	15	21
K03073	0	1
K03074	4	14
K03075	5	3
K03076	15	36
K03077	7	9
K03078	3	2
K03079	6	8
K03080	1	5
K03081	0	4
K03082	4	8
K03086	20	26
K03087	9	7
K03088	9	39
K03089	5	1
K03090	0	3
K03091	0	7
K03092	8	9
K03095	0	3
K03098	6	2
K03100	13	24
K03101	7	18
K03106	25	51
K03110	17	32
K03111	11	18
K03112	4	3
K03113	2	5
K03116	2	3
K03117	2	4
K03118	3	10
K03119	5	4
K03146	0	1
K03147	16	24
K03148	3	1
K03149	11	8
K03150	7	22
K03151	10	16
K03152	7	10
K03154	1	0
K03168	34	77
K03169	20	61
K03177	14	22
K03179	6	2
K03181	3	1
K03182	17	27
K03183	7	17
K03184	10	8
K03185	5	6
K03186	7	14
K03187	5	2
K03188	7	8
K03189	7	4
K03190	8	5
K03196	1	2
K03200	0	1
K03201	0	2
K03203	0	1
K03205	0	25
K03208	0	3
K03210	5	3
K03212	7	10
K03214	4	5
K03215	7	23
K03216	4	16
K03217	15	32
K03218	14	23
K03219	0	2
K03224	1	0
K03230	1	0
K03235	0	3
K03257	0	1
K03269	4	7
K03270	1	10
K03271	5	3
K03272	6	16
K03273	5	3
K03274	8	4
K03281	17	24
K03282	9	13
K03283	2	2
K03284	17	21
K03286	8	6
K03288	14	0
K03289	5	4
K03290	0	14
K03291	13	14
K03292	26	41
K03293	45	49
K03294	8	26
K03296	102	118
K03297	0	4
K03299	7	6
K03300	2	0
K03303	6	13
K03304	5	5
K03305	37	55
K03306	8	29
K03307	9	27
K03308	4	22
K03309	1	1
K03310	10	48
K03311	17	37
K03312	6	7
K03313	15	22
K03314	6	10
K03315	0	25
K03316	29	22
K03317	15	7
K03319	2	26
K03320	22	21
K03321	19	30
K03322	20	40
K03324	2	17
K03326	7	8
K03327	18	24
K03328	0	2
K03330	0	1
K03331	0	1
K03335	17	18
K03336	11	22
K03337	3	6
K03338	10	12
K03340	0	16
K03342	1	2
K03346	0	3
K03365	1	0
K03366	8	12
K03367	1	7
K03381	8	3
K03382	8	4
K03385	1	0
K03386	10	19
K03387	12	22
K03388	0	2
K03389	0	4
K03390	0	1
K03394	2	4
K03399	3	0
K03402	6	23
K03404	2	3
K03405	0	1
K03406	4	13
K03407	2	1
K03408	1	0
K03411	1	0
K03412	2	6
K03413	2	3
K03415	0	2
K03420	1	0
K03423	3	3
K03424	22	30
K03425	1	2
K03426	6	9
K03427	33	51
K03429	2	17
K03430	3	5
K03431	21	55
K03435	10	6
K03436	2	9
K03437	9	30
K03438	7	30
K03439	5	17
K03442	6	15
K03444	2	1
K03445	8	4
K03446	18	25
K03449	18	9
K03451	12	0
K03453	5	15
K03455	18	24
K03457	11	16
K03458	13	18
K03464	3	2
K03466	39	63
K03468	12	5
K03469	5	6
K03470	8	16
K03471	1	3
K03472	5	7
K03473	9	10
K03474	3	3
K03475	31	42
K03476	7	10
K03477	3	2
K03478	1	6
K03480	0	2
K03481	0	3
K03482	12	7
K03483	0	7
K03484	11	25
K03485	6	7
K03486	0	2
K03487	7	6
K03488	12	19
K03489	0	1
K03490	7	4
K03491	0	6
K03492	3	10
K03495	14	45
K03496	9	34
K03497	9	37
K03498	16	36
K03499	17	35
K03500	12	24
K03501	5	15
K03502	17	28
K03503	5	4
K03511	1	0
K03517	15	13
K03518	0	5
