protein	SRR2131211	SRR2131212
K03520	0	1
K03521	0	9
K03522	0	10
K03523	3	5
K03524	8	19
K03525	5	6
K03526	18	32
K03527	13	24
K03528	3	2
K03529	31	46
K03530	4	10
K03531	16	38
K03533	0	2
K03534	0	4
K03535	14	13
K03536	1	4
K03543	19	24
K03544	27	34
K03545	20	25
K03546	14	24
K03547	8	17
K03548	6	4
K03549	17	32
K03550	13	25
K03551	11	25
K03553	12	43
K03554	5	3
K03555	31	52
K03556	24	18
K03557	2	0
K03558	1	3
K03559	1	8
K03560	2	5
K03561	5	10
K03562	4	4
K03564	5	3
K03565	7	4
K03566	28	23
K03567	3	3
K03568	14	2
K03569	8	21
K03570	5	15
K03571	3	3
K03572	14	37
K03573	2	3
K03574	10	16
K03575	11	16
K03576	2	5
K03577	5	8
K03578	39	45
K03579	16	15
K03580	18	14
K03581	18	45
K03582	21	21
K03583	18	25
K03584	6	8
K03585	17	21
K03586	2	1
K03587	30	40
K03588	19	26
K03589	9	8
K03590	10	20
K03591	2	3
K03592	10	8
K03593	11	20
K03594	5	3
K03595	20	22
K03596	17	63
K03597	3	2
K03598	4	2
K03599	3	3
K03600	2	0
K03601	23	22
K03602	1	3
K03603	4	6
K03604	8	5
K03606	4	5
K03607	1	4
K03608	4	2
K03609	7	7
K03610	4	3
K03611	5	4
K03612	2	7
K03613	4	1
K03614	6	6
K03615	7	13
K03616	3	2
K03617	3	4
K03621	12	11
K03623	1	1
K03624	6	16
K03625	5	9
K03628	14	32
K03629	13	25
K03630	2	10
K03631	25	20
K03632	30	24
K03633	9	3
K03634	2	1
K03635	1	7
K03636	2	1
K03637	6	11
K03638	4	4
K03639	5	15
K03640	2	3
K03641	9	6
K03642	3	7
K03643	1	2
K03644	9	15
K03645	5	1
K03646	4	1
K03647	4	9
K03648	10	16
K03649	2	1
K03650	10	28
K03651	4	3
K03652	1	6
K03654	34	54
K03655	36	53
K03656	11	10
K03657	48	102
K03658	12	18
K03664	4	12
K03665	20	30
K03667	6	14
K03668	4	0
K03669	18	22
K03670	14	11
K03671	6	17
K03672	0	1
K03673	7	6
K03674	1	1
K03675	0	2
K03683	5	6
K03684	18	11
K03685	9	17
K03686	17	25
K03687	8	9
K03688	15	13
K03690	1	2
K03693	3	10
K03694	25	38
K03695	42	92
K03696	19	90
K03697	3	18
K03698	1	9
K03699	14	20
K03700	0	3
K03701	53	104
K03702	22	68
K03703	38	50
K03704	4	22
K03705	5	17
K03706	1	3
K03707	13	4
K03708	1	1
K03709	0	20
K03710	4	25
K03711	4	7
K03712	2	3
K03713	0	1
K03717	6	7
K03718	2	5
K03719	7	7
K03720	2	1
K03721	11	10
K03722	34	62
K03723	40	86
K03724	19	7
K03727	9	11
K03732	6	6
K03733	9	25
K03734	10	29
K03735	16	9
K03736	7	6
K03737	26	78
K03738	0	3
K03739	2	5
K03740	1	7
K03741	0	1
K03742	7	26
K03743	4	10
K03744	6	5
K03745	0	1
K03746	0	3
K03747	2	3
K03748	3	3
K03749	5	3
K03750	5	24
K03752	4	4
K03753	1	4
K03756	0	23
K03757	7	6
K03758	7	23
K03759	0	3
K03760	10	12
K03761	10	12
K03762	17	27
K03763	7	56
K03764	1	3
K03765	12	4
K03767	5	10
K03768	6	12
K03769	1	2
K03770	9	11
K03771	5	7
K03772	4	4
K03773	3	6
K03774	3	3
K03775	1	2
K03776	0	2
K03777	6	10
K03778	5	14
K03779	6	4
K03780	4	7
K03781	17	24
K03782	11	11
K03783	1	16
K03784	7	13
K03785	6	6
K03786	2	5
K03787	5	10
K03788	5	4
K03789	3	11
K03790	5	2
K03796	2	1
K03797	19	31
K03798	19	66
K03799	12	18
K03800	9	9
K03801	2	3
K03802	0	2
K03803	1	2
K03804	4	2
K03805	1	5
K03806	4	2
K03807	6	4
K03808	11	9
K03809	5	3
K03810	5	9
K03811	5	13
K03812	1	1
K03814	4	5
K03815	0	1
K03816	1	4
K03817	2	3
K03818	0	1
K03820	10	11
K03823	5	9
K03824	3	6
K03825	1	1
K03826	3	2
K03827	4	2
K03828	3	1
K03829	4	1
K03830	1	1
K03831	1	5
K03832	1	7
K03833	10	7
K03834	10	7
K03835	6	20
K03837	16	7
K03838	9	9
K03839	5	4
K03840	2	3
K03841	7	7
K03856	0	8
K03862	6	4
K03863	7	10
K03885	9	25
K03892	1	13
K03893	6	7
K03895	0	4
K03897	0	2
K03919	4	1
K03923	1	2
K03924	19	32
K03925	5	13
K03926	3	2
K03928	2	5
K03929	9	8
K03930	1	5
K03931	0	7
K03932	0	2
K03933	0	2
K03942	0	1
K03969	3	10
K03970	2	1
K03971	2	4
K03972	0	1
K03973	2	2
K03974	6	3
K03975	9	7
K03976	2	7
K03977	23	49
K03978	5	5
K03979	20	43
K03980	23	13
K03981	5	2
K03990	1	0
K04014	0	1
K04015	2	0
K04016	3	0
K04019	10	1
K04020	6	0
K04021	8	0
K04022	6	1
K04023	8	1
K04024	9	3
K04025	1	0
K04026	4	0
K04027	4	2
K04028	1	2
K04029	3	3
K04030	5	0
K04031	4	1
K04032	5	0
K04033	4	1
K04034	1	3
K04041	0	10
K04042	16	44
K04043	19	62
K04044	15	13
K04046	11	8
K04047	4	8
K04062	1	1
K04063	3	2
K04064	0	1
K04065	6	3
K04066	31	47
K04067	1	1
K04068	8	7
K04069	15	47
K04070	0	1
K04072	30	64
K04073	8	4
K04074	0	5
K04075	21	19
K04077	27	81
K04078	3	6
K04079	18	28
K04080	7	2
K04081	2	4
K04082	3	2
K04083	13	13
K04084	11	14
K04085	1	2
K04086	3	11
K04087	5	4
K04088	8	2
K04091	22	24
K04092	2	4
K04094	3	19
K04095	14	9
K04096	11	17
K04097	1	0
K04099	6	2
K04103	12	11
K04114	0	2
K04257	0	2
K04333	0	6
K04437	0	1
K04441	0	1
K04445	0	1
K04460	0	1
K04477	4	3
K04478	1	0
K04479	0	1
K04485	15	52
K04486	0	2
K04487	19	17
K04488	5	6
K04496	0	1
K04516	0	4
K04517	5	16
K04518	0	9
K04554	1	0
K04561	1	4
K04562	0	4
K04564	8	17
K04565	3	0
K04566	1	0
K04567	19	60
K04568	3	2
K04651	2	5
K04652	4	10
K04653	2	6
K04654	6	22
K04655	8	12
K04656	12	18
K04691	4	8
K04720	7	8
K04722	1	0
K04744	11	14
K04749	0	1
K04750	1	2
K04751	6	4
K04752	4	3
K04753	7	7
K04754	10	5
K04755	0	2
K04756	1	3
K04757	3	0
K04758	1	8
K04759	16	56
K04760	3	2
K04761	8	11
K04762	2	5
K04763	10	33
K04764	1	3
K04765	6	6
K04768	1	1
K04770	11	13
K04771	6	8
K04772	10	15
K04773	10	19
K04774	8	6
K04775	2	7
K04781	0	9
K04783	0	13
K04784	0	18
K04785	0	5
K04786	0	37
K04787	0	1
K04792	0	1
K04800	0	1
K04844	0	7
K05020	2	2
K05048	0	2
K05124	0	1
K05125	0	1
K05275	3	2
K05306	3	6
K05311	0	10
K05337	1	3
K05339	0	1
K05340	2	9
K05341	0	7
K05343	8	14
K05346	0	2
K05349	23	89
K05350	8	24
K05351	1	1
K05352	2	0
K05356	0	1
K05358	15	29
K05362	1	7
K05363	0	1
K05364	8	16
K05365	17	6
K05366	20	50
K05367	14	27
K05368	3	5
K05372	0	4
K05373	0	3
K05374	0	2
K05396	8	4
K05499	4	6
K05501	5	1
K05515	30	41
K05516	4	6
K05517	6	2
K05520	6	5
K05521	0	7
K05522	7	6
K05524	1	2
K05526	9	6
K05527	0	2
K05539	5	6
K05540	9	18
K05541	7	3
K05544	0	1
K05546	0	1
K05548	1	0
K05549	8	6
K05550	1	3
K05556	1	0
K05559	0	1
K05560	0	1
K05565	0	11
K05566	0	1
K05567	0	2
K05568	0	10
K05587	0	1
K05588	0	1
K05589	1	0
K05590	9	8
K05591	10	14
K05592	17	51
K05593	0	1
K05595	10	7
K05596	6	4
K05601	12	16
K05602	0	8
K05606	0	2
K05643	1	0
K05648	1	0
K05655	0	1
K05657	0	3
K05658	4	17
K05661	0	1
K05663	0	2
K05669	0	1
K05672	0	1
K05685	16	18
K05710	0	2
K05712	10	10
K05713	1	5
K05714	3	5
K05774	2	2
K05775	5	2
K05776	9	6
K05777	5	9
K05778	2	10
K05779	4	8
K05780	5	5
K05781	5	5
K05782	7	5
K05783	4	7
K05784	7	6
K05785	2	1
K05786	6	9
K05787	1	1
K05788	1	2
K05789	0	1
K05790	6	3
K05794	9	13
K05796	5	5
K05798	3	5
K05799	3	7
K05800	5	2
K05801	6	2
K05802	36	20
K05803	3	0
K05804	7	9
K05805	2	5
K05807	3	4
K05808	2	8
K05809	3	2
K05810	13	7
K05811	1	1
K05812	3	3
K05813	19	14
K05814	9	9
K05815	12	18
K05816	12	26
K05818	7	5
K05819	3	3
K05820	7	8
K05822	0	8
K05823	1	3
K05824	0	3
K05825	2	11
K05830	2	2
K05832	0	19
K05833	0	21
K05834	1	1
K05835	4	6
K05836	3	7
K05837	15	22
K05838	7	5
K05839	1	1
K05844	4	9
K05845	8	13
K05846	14	48
K05847	13	35
K05851	18	15
K05853	0	4
K05874	0	7
K05875	0	1
K05876	0	1
K05877	0	1
K05878	6	19
K05879	4	13
K05880	15	13
K05881	6	4
K05882	5	18
K05884	0	1
K05886	1	1
K05895	7	6
K05896	4	7
K05898	0	1
K05903	1	0
K05910	1	7
K05916	10	8
K05919	0	2
K05921	9	7
K05934	2	3
K05936	4	5
K05939	15	8
K05946	2	6
K05952	3	2
K05964	3	6
K05966	4	2
K05970	0	2
K05971	1	0
K05982	3	0
K05984	6	3
K05985	2	4
K05989	0	3
K05992	0	2
K05995	5	7
K05997	3	4
K06001	0	9
K06006	2	1
K06012	1	1
K06015	5	6
K06016	9	10
K06019	0	1
K06020	9	11
K06023	0	7
K06024	4	8
K06039	4	3
K06041	8	11
K06042	3	5
K06044	0	6
K06048	9	15
K06073	7	7
K06074	3	3
K06075	4	4
K06076	6	10
K06077	1	3
K06078	1	2
K06079	6	4
K06080	1	2
K06086	1	0
K06120	7	1
K06122	1	0
K06129	0	1
K06131	14	40
K06132	5	7
K06133	0	3
K06136	3	0
K06137	3	0
K06138	1	0
K06139	9	0
K06140	2	0
K06141	2	5
K06142	3	4
K06143	6	4
K06144	2	0
K06145	10	10
K06146	0	5
K06147	107	313
K06148	16	30
K06149	2	4
K06151	9	7
K06152	7	3
K06153	15	25
K06155	9	7
K06156	11	6
K06157	0	1
K06158	25	75
K06159	13	7
K06160	1	0
K06162	3	7
K06163	5	3
K06164	4	6
K06165	1	2
K06166	0	1
K06167	4	4
K06168	23	48
K06169	4	4
K06173	8	20
K06174	0	2
K06175	5	1
K06176	5	8
K06177	7	8
K06178	20	24
K06179	8	5
K06180	17	48
K06181	5	4
K06182	4	2
K06183	7	18
K06184	1	1
K06185	1	4
K06186	2	2
K06187	9	11
K06188	6	6
K06189	7	11
K06190	4	2
K06191	2	3
K06192	8	7
K06193	5	4
K06194	4	3
K06195	2	1
K06196	0	1
K06197	1	2
K06198	1	1
K06199	11	10
K06200	18	21
K06201	7	20
K06202	2	0
K06203	6	3
K06204	2	1
K06205	2	2
K06206	3	8
K06207	31	54
K06209	0	1
K06210	0	1
K06211	8	2
K06212	7	8
K06213	15	23
K06215	7	18
K06216	0	2
K06217	16	31
K06218	2	0
K06219	1	3
K06221	13	29
K06222	4	13
K06223	6	11
K06237	1	1
K06281	2	15
K06282	1	8
K06284	1	0
K06286	0	6
K06287	13	9
K06295	3	0
K06306	1	0
K06310	2	0
K06330	0	1
K06334	2	2
K06346	1	9
K06350	2	0
K06351	2	4
K06373	0	1
K06374	1	1
K06378	0	1
K06379	0	1
K06381	2	2
K06399	0	1
K06400	2	2
K06402	0	1
K06409	2	7
K06412	1	0
K06413	1	0
K06415	9	14
K06416	0	1
K06442	3	27
K06445	12	13
K06446	0	1
K06447	18	21
K06518	3	8
K06549	0	1
K06605	7	4
K06606	4	0
K06607	0	3
K06609	1	2
K06636	1	0
K06714	2	1
K06724	1	0
K06726	1	3
K06857	1	1
K06858	4	2
K06859	0	4
K06860	0	3
K06861	4	11
K06864	1	5
K06866	1	2
K06867	0	3
K06871	10	20
K06872	0	4
K06877	0	13
K06878	1	9
K06879	3	7
K06881	1	8
K06883	1	0
K06885	11	16
K06888	1	0
K06889	19	37
K06890	12	8
K06891	3	1
K06892	16	9
K06894	30	37
K06895	6	4
K06896	7	26
K06897	0	1
K06898	0	2
K06899	5	7
K06901	29	75
K06902	6	15
K06903	0	1
K06904	4	7
K06905	0	4
K06907	0	6
K06908	0	2
K06909	3	0
K06910	9	6
K06911	31	47
K06915	14	19
K06916	18	8
K06917	6	3
K06918	10	12
K06919	0	5
K06920	2	9
K06921	0	4
K06923	0	2
K06925	7	15
K06926	0	2
K06928	1	1
K06929	1	8
K06934	0	2
K06938	1	0
K06940	2	2
K06941	18	33
K06942	19	38
K06943	0	1
K06944	0	1
K06948	0	15
K06949	12	21
K06950	11	36
K06954	6	2
K06956	23	15
K06957	11	13
K06958	12	18
K06959	16	48
K06960	1	4
K06962	0	5
K06966	13	17
K06967	1	3
K06968	6	2
K06969	7	17
K06970	6	3
K06971	2	1
K06972	1	7
K06973	0	10
K06975	2	3
K06978	0	5
K06979	0	4
K06980	11	12
K06987	0	4
K06988	0	7
K06989	0	4
K06990	2	1
K06994	3	12
K06995	1	2
K06996	2	0
K06997	10	19
K06998	6	14
K06999	10	5
K07000	6	6
K07001	6	20
K07002	0	1
K07004	3	3
K07005	2	2
K07006	5	3
K07007	11	29
K07008	2	3
K07009	3	7
K07010	2	7
K07011	1	8
K07012	0	8
K07014	14	14
K07015	0	5
K07017	5	3
K07019	6	4
K07021	3	22
K07023	1	2
K07024	40	105
K07025	16	12
K07027	3	12
K07029	16	32
K07030	4	19
K07031	0	4
K07032	0	3
K07034	3	1
K07035	0	5
K07037	0	9
K07038	4	8
K07039	1	3
K07040	7	7
K07042	8	11
K07043	1	3
K07045	0	2
K07046	0	1
K07047	24	15
K07048	5	8
K07050	0	1
K07052	4	18
K07053	8	20
K07054	6	6
K07056	8	23
K07058	10	16
K07062	2	3
K07067	0	8
K07069	2	0
K07070	1	0
K07071	4	6
K07078	1	4
K07079	1	5
K07080	0	1
K07082	11	22
K07085	18	25
K07088	12	16
K07089	17	8
K07090	18	19
K07091	9	7
K07093	0	1
K07095	4	9
K07098	0	6
K07099	0	3
K07101	0	3
K07102	0	1
K07104	0	7
K07105	3	3
K07106	5	15
K07107	2	14
K07109	2	4
K07110	0	1
K07112	16	5
K07113	3	2
K07114	5	3
K07115	3	2
K07118	0	8
K07119	3	8
K07120	6	4
K07121	8	5
K07122	2	2
K07124	7	19
K07126	1	5
K07127	4	1
K07133	5	21
K07136	3	1
K07137	4	22
K07138	0	3
K07139	4	19
K07140	9	6
K07141	0	2
K07145	1	1
K07146	6	18
K07147	7	11
K07148	3	8
K07149	0	2
K07150	12	12
K07153	5	3
K07154	10	11
K07156	0	1
K07160	9	7
K07164	0	2
K07165	0	3
K07166	1	1
K07168	3	4
K07170	3	3
K07171	1	4
K07172	3	0
K07173	5	5
K07174	0	1
K07175	0	7
K07177	3	12
K07180	10	9
K07183	5	12
K07184	1	7
K07186	4	2
K07188	0	1
K07192	0	4
K07214	12	17
K07217	4	11
K07219	0	1
K07220	2	6
K07222	0	3
K07223	9	9
K07224	6	9
K07225	8	1
K07229	1	2
K07230	1	1
K07232	5	5
K07235	1	2
K07236	1	0
K07237	3	1
K07238	6	6
K07240	3	6
K07241	3	7
K07243	6	11
K07245	4	5
K07246	11	13
K07248	9	11
K07249	0	1
K07250	11	4
K07251	2	3
K07258	27	31
K07259	14	7
K07260	0	1
K07261	3	4
K07262	8	7
K07263	1	18
K07264	9	10
K07267	9	2
K07269	1	1
K07270	0	1
K07271	0	3
K07272	3	2
K07273	0	1
K07274	6	4
K07275	4	8
K07277	28	26
K07278	9	15
K07282	5	10
K07283	4	4
K07284	5	14
K07285	3	4
K07286	4	3
K07287	5	9
K07289	10	11
K07290	9	11
K07300	5	9
K07301	6	3
K07304	5	14
K07305	3	5
K07306	23	37
K07307	0	8
K07308	6	13
K07309	15	20
K07310	2	4
K07311	0	1
K07312	5	3
K07313	2	6
K07315	0	1
K07316	0	4
K07318	0	1
K07319	2	6
K07320	4	4
K07321	0	2
K07322	5	5
K07323	4	1
K07332	1	0
K07334	1	3
K07335	2	10
K07336	3	2
K07337	2	4
K07339	0	1
K07340	4	1
K07341	1	2
K07343	3	2
K07345	6	4
K07346	8	12
K07347	72	73
K07348	2	1
K07349	2	3
K07350	5	2
K07351	1	6
K07357	4	2
K07358	0	4
K07386	14	32
K07387	5	2
K07390	1	1
K07391	20	18
K07393	3	8
K07395	5	4
K07397	3	1
K07400	5	1
K07401	1	0
K07402	1	17
K07403	0	1
K07404	4	13
K07405	0	3
K07406	7	4
K07407	18	44
K07442	7	4
K07443	1	1
K07444	0	5
K07447	4	13
K07448	0	4
K07454	5	0
K07455	0	5
K07456	9	39
K07457	1	3
K07458	4	4
K07459	8	12
K07460	3	2
K07461	2	5
K07462	15	39
K07464	1	0
K07465	0	1
K07467	0	9
K07470	3	3
K07473	0	4
K07474	1	1
K07478	18	58
K07479	1	0
K07482	2	3
K07483	2	5
K07484	0	1
K07485	1	6
K07486	1	2
K07487	0	2
K07490	0	2
K07491	3	12
K07492	1	0
K07493	1	1
K07494	4	0
K07496	2	14
K07497	5	30
K07498	3	0
K07503	0	6
K07506	6	4
K07507	4	13
K07508	1	1
K07516	0	2
K07519	1	0
K07533	1	13
K07552	22	32
K07560	6	6
K07566	11	29
K07567	6	9
K07568	8	34
K07570	0	1
K07571	0	4
K07574	3	4
K07584	0	2
K07586	1	5
K07588	0	5
K07589	3	1
K07590	0	1
K07592	7	5
K07636	18	35
K07637	7	7
K07638	9	5
K07639	7	6
K07640	11	5
K07641	7	1
K07642	10	14
K07643	5	3
K07644	10	15
K07645	11	5
K07646	16	22
K07647	0	2
K07648	10	11
K07649	3	5
K07651	3	1
K07652	2	15
K07653	1	1
K07654	0	6
K07657	15	16
K07658	5	15
K07659	6	7
K07660	7	5
K07661	6	6
K07662	4	6
K07663	5	1
K07664	6	7
K07665	8	23
K07666	4	2
K07667	3	12
K07668	2	9
K07669	2	4
K07670	2	6
K07671	0	1
K07673	12	8
K07674	1	2
K07675	8	9
K07676	11	17
K07677	19	19
K07678	16	11
K07679	19	6
K07684	4	6
K07685	1	2
K07686	2	4
K07687	4	4
K07688	0	1
K07689	5	4
K07690	3	0
K07692	0	2
K07693	4	8
K07699	0	1
K07700	18	15
K07701	14	11
K07702	9	9
K07703	2	9
K07704	1	4
K07705	0	2
K07706	1	4
K07707	0	3
K07708	5	8
K07709	6	1
K07711	8	7
K07712	8	10
K07713	9	6
K07714	1	2
K07715	10	11
K07716	1	1
K07718	0	13
K07720	1	9
K07722	1	0
K07724	1	0
K07726	5	0
K07727	1	3
K07729	1	2
K07735	4	3
K07736	5	4
K07737	0	2
K07738	6	10
K07740	3	1
K07741	2	0
K07742	1	2
K07749	0	3
K07751	11	4
K07753	0	1
K07757	6	3
K07768	4	3
K07771	6	2
K07773	1	6
K07774	1	1
K07775	2	3
K07776	6	9
K07778	1	0
K07781	5	3
K07782	4	4
K07783	21	24
K07784	4	6
K07786	3	0
K07787	20	12
K07788	20	13
K07789	18	27
K07791	6	9
K07792	5	4
K07793	0	2
K07794	0	1
K07795	0	3
K07796	11	7
K07797	2	0
K07798	6	2
K07799	8	15
K07803	2	0
K07806	7	9
K07810	1	0
K07811	1	0
K07812	18	15
K07813	0	1
K07814	1	3
K07816	0	3
K07823	6	5
K07862	9	14
K07925	0	1
K07979	0	4
K07984	0	1
K08070	0	2
K08078	0	1
K08081	1	1
K08084	0	1
K08092	0	8
K08094	0	2
K08137	7	11
K08138	0	5
K08139	0	4
K08145	1	2
K08150	1	5
K08151	0	5
K08154	7	3
K08156	29	21
K08159	9	8
K08160	10	11
K08161	11	24
K08162	4	5
K08163	4	4
K08166	1	0
K08167	8	16
K08169	13	19
K08170	8	8
K08172	11	12
K08173	2	20
K08176	1	1
K08177	12	16
K08178	10	2
K08191	21	15
K08193	0	1
K08194	21	16
K08195	25	22
K08209	0	1
K08217	3	8
K08218	9	12
K08219	5	7
K08221	0	1
K08223	7	11
K08224	9	6
K08225	5	5
K08226	1	0
K08227	6	9
K08234	3	4
K08252	0	1
K08255	0	2
K08256	0	5
K08276	2	3
K08279	0	2
K08281	4	5
K08282	2	2
K08289	14	18
K08293	0	1
K08295	1	1
K08296	6	3
K08297	0	1
K08298	0	4
K08300	24	27
K08301	12	21
K08302	0	5
K08303	42	63
K08304	6	4
K08305	7	4
K08306	9	2
K08307	8	18
K08308	4	6
K08309	15	12
K08310	3	3
K08311	3	0
K08312	2	5
K08313	2	0
K08314	3	3
K08315	3	3
K08316	8	7
K08317	4	6
K08319	4	0
K08320	2	4
K08321	7	4
K08322	4	9
K08323	1	12
K08324	9	8
K08325	5	14
K08326	0	2
K08341	1	0
K08344	14	6
K08348	19	12
K08349	7	4
K08350	6	5
K08351	16	12
K08352	1	5
K08357	1	0
K08368	0	3
K08369	10	17
K08372	5	4
K08384	2	4
K08473	0	1
K08475	10	4
K08476	3	4
K08478	6	4
K08482	0	2
K08483	23	48
K08484	19	8
K08485	1	3
K08508	0	1
K08567	0	1
K08590	7	9
K08591	6	7
K08600	0	2
K08602	2	10
K08641	0	6
K08643	0	1
K08659	13	3
K08660	0	1
K08675	1	1
K08676	0	2
K08678	0	1
K08679	7	3
K08680	5	8
K08681	6	6
K08682	3	2
K08683	1	0
K08696	2	0
K08700	2	0
K08717	2	2
K08721	2	1
K08722	4	5
K08723	5	3
K08724	0	2
K08728	0	1
K08735	1	0
K08740	0	2
K08869	0	1
K08884	20	52
K08955	0	4
K08956	0	6
K08963	8	11
K08964	4	4
K08967	2	2
K08969	13	3
K08970	4	5
K08972	2	3
K08974	1	3
K08978	2	0
K08981	0	1
K08986	4	3
K08987	2	4
K08990	7	4
K08992	2	2
K08993	2	4
K08994	5	4
K08996	1	8
K08997	7	11
K08998	1	6
K08999	0	1
K09001	8	4
K09002	1	0
K09004	0	1
K09009	2	5
K09011	0	4
K09013	11	29
K09014	13	46
K09015	14	26
K09016	10	4
K09017	4	4
K09018	6	8
K09019	4	5
K09020	4	4
K09021	2	2
K09022	4	3
K09023	1	2
K09024	1	5
K09103	1	0
K09117	1	9
K09118	10	19
K09121	0	8
K09125	4	6
K09131	0	1
K09134	0	1
K09136	20	6
K09138	0	4
K09144	1	0
K09153	0	3
K09155	2	10
K09157	7	15
K09158	1	0
K09159	2	0
K09160	1	2
K09161	2	1
K09162	1	7
K09167	0	2
K09181	18	21
K09210	0	1
K09228	1	1
K09251	4	6
K09252	5	0
K09254	1	0
K09294	1	0
K09301	1	0
K09303	1	0
K09304	1	0
K09305	1	0
K09306	1	0
K09307	1	0
K09311	1	0
K09312	1	0
K09384	0	3
K09456	5	4
K09457	0	2
K09458	18	42
K09461	1	2
K09470	6	4
K09471	20	10
K09472	7	14
K09473	5	3
K09474	5	6
K09475	9	5
K09476	16	5
K09477	1	1
K09486	0	1
K09490	1	1
K09504	0	1
K09537	0	1
K09568	1	0
K09569	0	1
K09612	5	4
K09685	0	6
K09689	0	1
K09690	4	3
K09691	15	20
K09692	2	3
K09693	2	1
K09695	0	2
K09696	0	1
K09697	1	2
K09698	5	29
K09701	4	1
K09702	2	0
K09703	0	4
K09704	4	16
K09710	4	10
K09747	4	7
K09748	2	8
K09758	0	2
K09760	18	7
K09761	9	10
K09762	4	21
K09765	0	2
K09767	4	6
K09768	4	8
K09769	0	8
K09771	3	4
K09772	2	4
K09773	7	9
K09774	3	1
K09775	0	1
K09779	0	1
K09780	2	3
K09781	6	7
K09786	8	6
K09787	0	5
K09788	0	1
K09790	2	4
K09791	3	1
K09793	0	3
K09798	6	1
K09800	26	13
K09801	2	1
K09802	1	1
K09806	2	0
K09807	6	5
K09808	17	14
K09809	0	4
K09810	10	15
K09811	13	13
K09812	12	28
K09815	7	26
K09816	6	16
K09817	6	18
K09818	0	1
K09819	2	2
K09820	1	4
K09823	3	4
K09824	7	5
K09825	0	3
K09858	4	2
K09861	5	8
K09862	1	0
K09879	0	1
K09880	2	2
K09888	1	5
K09889	3	2
K09891	4	2
K09892	1	0
K09893	2	1
K09894	2	0
K09895	5	2
K09896	1	0
K09897	2	0
K09898	1	0
K09899	2	1
K09900	1	1
K09901	2	2
K09902	3	0
K09903	10	26
K09904	2	3
K09906	2	1
K09907	5	0
K09908	1	3
K09909	0	1
K09910	3	3
K09911	1	3
K09912	3	2
K09913	0	1
K09914	3	3
K09915	4	6
K09916	2	4
K09917	1	0
K09918	3	1
K09920	1	1
K09921	4	0
K09923	2	1
K09927	7	9
K09932	1	0
K09933	3	5
K09936	9	3
K09939	0	1
K09945	1	1
K09946	1	2
K09949	0	5
K09951	1	0
K09952	7	4
K09954	0	1
K09955	1	12
K09958	3	2
K09961	0	3
K09962	0	4
K09963	0	12
K09964	0	1
K09967	0	7
K09970	0	1
K09971	0	2
K09972	6	5
K09973	6	7
K09974	3	0
K09975	0	1
K09978	1	1
K09979	3	4
K09994	0	1
K09996	8	12
K09997	8	6
K09998	3	0
K09999	5	3
K10000	5	6
K10001	8	6
K10002	5	4
K10003	3	5
K10004	3	8
K10005	3	0
K10007	7	1
K10008	2	6
K10009	5	15
K10010	8	16
K10011	10	7
K10012	6	7
K10013	11	12
K10014	9	4
K10015	6	5
K10016	2	4
K10017	4	1
K10018	0	3
K10019	1	5
K10020	0	3
K10021	0	4
K10022	0	1
K10023	0	2
K10024	0	1
K10025	1	0
K10026	3	5
K10027	1	0
K10036	5	4
K10037	2	3
K10038	4	6
K10039	1	5
K10040	1	12
K10041	3	6
K10108	10	4
K10109	5	9
K10110	3	3
K10111	15	14
K10112	24	49
K10117	2	16
K10118	0	13
K10119	0	20
K10122	0	1
K10124	15	6
K10125	0	1
K10126	4	4
K10133	0	2
K10147	0	1
K10180	1	0
K10181	1	0
K10188	0	11
K10189	0	6
K10190	0	7
K10191	3	2
K10192	7	9
K10193	1	9
K10194	4	6
K10195	8	5
K10201	0	1
K10206	2	9
K10213	0	1
K10217	2	2
K10218	3	1
K10228	0	1
K10229	0	1
K10231	0	1
K10234	0	1
K10235	1	1
K10237	0	1
K10238	0	1
K10242	0	2
K10251	0	2
K10254	6	18
K10414	0	1
K10439	22	52
K10440	22	43
K10441	41	85
K10527	1	0
K10530	1	8
K10536	0	3
K10537	6	2
K10538	7	7
K10539	12	8
K10540	7	4
K10541	7	5
K10542	10	10
K10543	6	8
K10544	7	19
K10545	14	16
K10546	0	8
K10547	2	6
K10548	2	14
K10549	0	5
K10550	0	2
K10551	0	12
K10554	0	1
K10555	7	4
K10556	4	5
K10557	5	4
K10558	7	7
K10559	6	7
K10560	7	3
K10561	6	1
K10562	9	13
K10563	10	15
K10598	0	1
K10670	0	1
K10677	0	4
K10678	6	4
K10679	5	5
K10680	7	13
K10681	4	2
K10682	0	3
K10697	0	1
K10706	1	0
K10708	1	0
K10711	0	1
K10715	0	1
K10716	2	7
K10725	1	0
K10730	0	1
K10748	6	2
K10763	6	3
K10764	3	5
K10773	6	17
K10777	0	1
K10778	8	5
K10780	0	1
K10797	0	2
K10804	6	3
K10805	8	5
K10806	5	1
K10807	0	1
K10823	13	17
K10824	7	4
K10831	5	13
K10834	1	0
K10843	0	10
K10844	0	1
K10852	0	3
K10857	4	1
K10858	0	1
K10866	0	1
K10877	1	1
K10900	0	1
K10901	1	1
K10906	1	0
K10907	9	8
K10914	1	2
K10941	1	1
K10943	3	2
K10947	0	9
K10972	0	2
K10974	5	5
K10975	0	3
K10978	0	1
K10994	0	1
K11004	3	3
K11041	0	7
K11050	0	4
K11051	0	1
K11065	4	10
